School name,Proficiency rate,Citation
Accelerated Advanced Learning Program,96.66666666666667,"Zelma Education (Version 1.0). 2024. ""Top 15 School Proficiency Ratings Aggregated for Grades 3-8 in Wisconsin 2022-23 for Math."" Accessed at https://www.zelma.ai/q/FK9zgG7WwQ on February 15, 2024."
Odyssey-Magellan,93.29608938547486,
Kansasville Elementary,92.85714285714286,
Leonardo da Vinci School for Gifted Learners,92.82868525896414,
Woodland Intermediate,88.18181818181819,
Tonawanda Elementary,87.55555555555556,
Woodland School,86.74033149171271,
Mill Valley Elementary,86.5979381443299,
Maple Avenue Elementary,84.90566037735849,
Wauwatosa STEM,83.82352941176471,
Houlton Elementary,83.62068965517241,
Shorewood Hills Elementary,83.4319526627219,
Sevastopol Elementary,82.64462809917356,
North Shore Middle,82.20858895705521,
Richards Elementary,82.14285714285714,
